[2019-07-20 19:36:35] INFO [django.utils.autoreload.run_with_reloader:586] Watching for file changes with StatReloader
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.run:277] Waiting for apps ready_event.
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.run:288] Apps ready_event triggered. Sending autoreload_started signal.
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.watch_dir:236] Watching dir C:\Users\tjisa\Desktop\prepareICE\practice\locale with glob **/*.mo.
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.watch_dir:236] Watching dir C:\Users\tjisa\.virtualenvs\prepareICE-Qxq9WGOG\lib\site-packages\django\contrib\admin\locale with glob **/*.mo.
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.watch_dir:236] Watching dir C:\Users\tjisa\.virtualenvs\prepareICE-Qxq9WGOG\lib\site-packages\django\contrib\auth\locale with glob **/*.mo.
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.watch_dir:236] Watching dir C:\Users\tjisa\.virtualenvs\prepareICE-Qxq9WGOG\lib\site-packages\django\contrib\contenttypes\locale with glob **/*.mo.
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.watch_dir:236] Watching dir C:\Users\tjisa\.virtualenvs\prepareICE-Qxq9WGOG\lib\site-packages\django\contrib\sessions\locale with glob **/*.mo.
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.watch_dir:236] Watching dir C:\Users\tjisa\.virtualenvs\prepareICE-Qxq9WGOG\lib\site-packages\django\contrib\messages\locale with glob **/*.mo.
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.watch_dir:236] Watching dir C:\Users\tjisa\.virtualenvs\prepareICE-Qxq9WGOG\lib\site-packages\django\contrib\staticfiles\locale with glob **/*.mo.
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.tick:340] File C:\Users\tjisa\.virtualenvs\prepareICE-Qxq9WGOG\Lib\site-packages\django\contrib\admin\__init__.py first seen with mtime 1563653744.1477568
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.tick:340] File C:\Users\tjisa\.virtualenvs\prepareICE-Qxq9WGOG\Lib\site-packages\django\db\migrations\exceptions.py first seen with mtime 1563653802.717741
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.tick:340] File C:\Users\tjisa\AppData\Local\Programs\Python\Python37\Lib\pathlib.py first seen with mtime 1545621404.0
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.tick:340] File C:\Users\tjisa\.virtualenvs\prepareICE-Qxq9WGOG\Lib\site-packages\django\db\migrations\state.py first seen with mtime 1563653802.9126728
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.tick:340] File C:\Users\tjisa\.virtualenvs\prepareICE-Qxq9WGOG\Lib\site-packages\django\db\models\options.py first seen with mtime 1563653803.474246
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.tick:340] File C:\Users\tjisa\.virtualenvs\prepareICE-Qxq9WGOG\Lib\site-packages\django\core\servers\__init__.py first seen with mtime 1563653801.282154
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.tick:340] File C:\Users\tjisa\.virtualenvs\prepareICE-Qxq9WGOG\Lib\site-packages\django\contrib\sessions\models.py first seen with mtime 1563653790.8537745
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.tick:340] File C:\Users\tjisa\.virtualenvs\prepareICE-Qxq9WGOG\Lib\importlib\__init__.py first seen with mtime 1545621404.0
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.tick:340] File C:\Users\tjisa\.virtualenvs\prepareICE-Qxq9WGOG\Lib\site-packages\django\core\serializers\base.py first seen with mtime 1563653801.2063591
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.tick:340] File C:\Users\tjisa\.virtualenvs\prepareICE-Qxq9WGOG\Lib\site-packages\django\views\decorators\__init__.py first seen with mtime 1563653808.4059162
